date,unit_sales,year,month,day_of_week,dcoilwtico,description,is_holiday
2013-01-02,582.0,2013,1,2,93.14,,0
2013-01-03,310.0,2013,1,3,92.97,,0
2013-01-04,338.0,2013,1,4,93.12,,0
2013-01-05,654.0,2013,1,5,93.12,Recupero puente Navidad,1
2013-01-06,979.0,2013,1,6,93.12,,0
2013-01-07,541.0,2013,1,0,93.2,,0
2013-01-08,434.0,2013,1,1,93.21,,0
2013-01-09,593.0,2013,1,2,93.08,,0
2013-01-10,700.0,2013,1,3,93.81,,0
2013-01-11,726.0,2013,1,4,93.6,,0
2013-01-12,631.0,2013,1,5,93.6,Recupero puente primer dia del ano,1
2013-01-13,679.0,2013,1,6,93.6,,0
2013-01-14,683.0,2013,1,0,94.27,,0
2013-01-15,547.0,2013,1,1,93.26,,0
2013-01-16,265.0,2013,1,2,94.28,,0
2013-01-17,4.0,2013,1,3,95.49,,0
2013-01-18,60.0,2013,1,4,95.61,,0
2013-01-19,667.0,2013,1,5,95.61,,0
2013-01-20,1090.0,2013,1,6,95.61,,0
2013-01-21,760.0,2013,1,0,95.61,,0
2013-01-22,461.0,2013,1,1,96.09,,0
2013-01-23,413.0,2013,1,2,95.06,,0
2013-01-24,326.0,2013,1,3,95.35,,0
2013-01-25,389.0,2013,1,4,95.15,,0
2013-01-26,697.0,2013,1,5,95.15,,0
2013-01-27,616.0,2013,1,6,95.15,,0
2013-01-28,318.0,2013,1,0,95.95,,0
2013-01-29,393.0,2013,1,1,97.62,,0
2013-01-30,487.0,2013,1,2,97.98,,0
2013-01-31,282.0,2013,1,3,97.65,,0
2013-02-01,401.0,2013,2,4,97.46,,0
2013-02-02,775.0,2013,2,5,97.46,,0
2013-02-03,855.0,2013,2,6,97.46,,0
2013-02-04,411.0,2013,2,0,96.21,,0
2013-02-05,272.0,2013,2,1,96.68,,0
2013-02-06,461.0,2013,2,2,96.44,,0
2013-02-07,397.0,2013,2,3,95.84,,0
2013-02-08,226.0,2013,2,4,95.71,,0
2013-02-09,377.0,2013,2,5,95.71,,0
2013-02-10,356.0,2013,2,6,95.71,,0
2013-02-11,407.0,2013,2,0,97.01,Carnaval,1
2013-02-12,469.0,2013,2,1,97.48,Carnaval,1
2013-02-13,277.0,2013,2,2,97.03,,0
2013-02-14,280.0,2013,2,3,97.3,,0
2013-02-15,304.0,2013,2,4,95.95,,0
2013-02-16,576.0,2013,2,5,95.95,,0
2013-02-17,395.0,2013,2,6,95.95,,0
